Estadio,Equipo,Capacidad,Espectadores,Promedio,Partidos,Lleno,Máximo rendimiento,Temporada
Anfield,Liverpool FC,60725,777193,37009,21,2,"61,0 %",92/93
Old Trafford,Manchester United,74879,737768,35132,21,,"46,9 %",92/93
Villa Park,Aston Villa,42682,621472,29594,21,,"69,3 %",92/93
Elland Road,Leeds United,37890,613798,29228,21,,"77,1 %",92/93
Tottenham Hotspur Stadium,Tottenham Hotspur,62850,585430,27878,21,,"44,4 %",92/93
Hillsborough,Sheffield Wednesday,39859,572534,27264,21,,"68,4 %",92/93
Etihad Stadium,Manchester City,55017,518655,24698,21,1,"44,9 %",92/93
Emirates Stadium,Arsenal FC,60704,512466,24403,21,,"40,2 %",92/93
The City Ground,Nottingham Forest,30445,460107,21910,21,,"72,0 %",92/93
Goodison Park,Everton FC,39571,429588,20457,21,,"51,7 %",92/93
Bramall Lane,Sheffield United,32702,394826,18801,21,,"57,5 %",92/93
Stamford Bridge,Chelsea FC,40853,393838,18754,21,,"45,9 %",92/93
Portman Road,Ipswich Town,29673,381883,18185,21,,"61,3 %",92/93
Riverside Stadium,Middlesbrough FC,33746,351199,16724,21,,"49,6 %",92/93
Carrow Road,Norwich City,27244,345518,16453,21,,"60,4 %",92/93
Ewood Park,Blackburn Rovers,31367,341207,16248,21,,"51,8 %",92/93
Selhurst Park,Crystal Palace,26047,330251,15726,21,1,"60,4 %",92/93
St Mary's Stadium,Southampton FC,32384,318118,15148,21,5,"46,8 %",92/93
Loftus Road Stadium,Queens Park Rangers,18360,315035,15002,21,3,"81,7 %",92/93
Coventry Building Society Arena,Coventry City,32609,314897,14995,21,1,"46,0 %",92/93
Boundary Park,Oldham Athletic,13513,270042,12859,21,6,"95,2 %",92/93
Selhurst Park,Wimbledon FC (- 2004),26309,176505,8405,21,,"32,0 %",92/93
Old Trafford,Manchester United,74879,929133,44244,21,,"59,1 %",93/94
Anfield,Liverpool FC,60725,808573,38503,21,2,"63,4 %",93/94
Elland Road,Leeds United,37890,724630,34506,21,3,"91,1 %",93/94
St James' Park,Newcastle United,52338,709631,33792,21,1,"64,6 %",93/94
Emirates Stadium,Arsenal FC,60704,640333,30492,21,,"50,2 %",93/94
Villa Park,Aston Villa,42682,608364,28970,21,1,"67,9 %",93/94
Tottenham Hotspur Stadium,Tottenham Hotspur,62850,572359,27255,21,,"43,4 %",93/94
Hillsborough,Sheffield Wednesday,39859,570920,27187,21,,"68,2 %",93/94
Etihad Stadium,Manchester City,55017,553017,26334,21,1,"47,9 %",93/94
Goodison Park,Everton FC,39571,481146,22912,21,,"57,9 %",93/94
London Stadium,West Ham United,62500,437451,20831,21,,"33,3 %",93/94
Bramall Lane,Sheffield United,32702,408568,19456,21,,"59,5 %",93/94
Stamford Bridge,Chelsea FC,40853,403434,19211,21,,"47,0 %",93/94
Carrow Road,Norwich City,27244,381754,18179,21,,"66,7 %",93/94
Ewood Park,Blackburn Rovers,31367,365697,17414,21,,"55,5 %",93/94
Portman Road,Ipswich Town,29673,344622,16411,21,,"55,3 %",93/94
County Ground,Swindon Town,15728,315734,15035,21,8,"95,6 %",93/94
St Mary's Stadium,Southampton FC,32384,310338,14778,21,10,"45,6 %",93/94
Loftus Road Stadium,Queens Park Rangers,18360,296792,14133,21,3,"77,0 %",93/94
Coventry Building Society Arena,Coventry City,32609,284838,13564,21,,"41,6 %",93/94
Boundary Park,Oldham Athletic,13513,263939,12569,21,8,"93,0 %",93/94
Selhurst Park,Wimbledon FC (- 2004),26309,219698,10462,21,1,"39,8 %",93/94
Old Trafford,Manchester United,74879,907228,43201,21,,"57,7 %",94/95
Emirates Stadium,Arsenal FC,60704,742420,35353,21,4,"58,2 %",94/95
St James' Park,Newcastle United,52338,728575,34694,21,,"66,3 %",94/95
Anfield,Liverpool FC,60725,717692,34176,21,,"56,3 %",94/95
Elland Road,Leeds United,37890,692857,32993,21,,"87,1 %",94/95
Goodison Park,Everton FC,39571,658753,31369,21,2,"79,3 %",94/95
Villa Park,Aston Villa,42682,624881,29756,21,,"69,7 %",94/95
Tottenham Hotspur Stadium,Tottenham Hotspur,62850,568436,27068,21,,"43,1 %",94/95
Hillsborough,Sheffield Wednesday,39859,558318,26587,21,,"66,7 %",94/95
Ewood Park,Blackburn Rovers,31367,530709,25272,21,,"80,6 %",94/95
The City Ground,Nottingham Forest,30445,496288,23633,21,,"77,6 %",94/95
Etihad Stadium,Manchester City,55017,476158,22674,21,,"41,2 %",94/95
Stamford Bridge,Chelsea FC,40853,442310,21062,21,,"51,6 %",94/95
London Stadium,West Ham United,62500,424321,20206,21,,"32,3 %",94/95
King Power Stadium,Leicester City,32273,410172,19532,21,,"60,5 %",94/95
Carrow Road,Norwich City,27244,391124,18625,21,,"68,4 %",94/95
Portman Road,Ipswich Town,29673,354792,16895,21,,"56,9 %",94/95
Coventry Building Society Arena,Coventry City,32609,335576,15980,21,,"49,0 %",94/95
Selhurst Park,Crystal Palace,26047,311138,14816,21,,"56,9 %",94/95
St Mary's Stadium,Southampton FC,32384,308474,14689,21,11,"45,4 %",94/95
Loftus Road Stadium,Queens Park Rangers,18360,306335,14587,21,2,"79,5 %",94/95
Selhurst Park,Wimbledon FC (- 2004),26309,214326,10206,21,,"38,8 %",94/95
Old Trafford,Manchester United,74879,791940,41681,19,,"55,7 %",95/96
Anfield,Liverpool FC,60725,751501,39553,19,,"65,1 %",95/96
Emirates Stadium,Arsenal FC,60704,713797,37568,19,8,"61,9 %",95/96
St James' Park,Newcastle United,52338,693616,36506,19,,"69,8 %",95/96
Goodison Park,Everton FC,39571,673115,35427,19,4,"89,5 %",95/96
Elland Road,Leeds United,37890,619946,32629,19,,"86,1 %",95/96
Villa Park,Aston Villa,42682,619660,32614,19,,"76,4 %",95/96
Tottenham Hotspur Stadium,Tottenham Hotspur,62850,580418,30548,19,,"48,6 %",95/96
Riverside Stadium,Middlesbrough FC,33746,555879,29257,19,,"86,7 %",95/96
Etihad Stadium,Manchester City,55017,530885,27941,19,,"50,8 %",95/96
Ewood Park,Blackburn Rovers,31367,526564,27714,19,,"88,4 %",95/96
The City Ground,Nottingham Forest,30445,492395,25916,19,,"85,1 %",95/96
Stamford Bridge,Chelsea FC,40853,486361,25598,19,,"62,7 %",95/96
Hillsborough,Sheffield Wednesday,39859,472665,24877,19,,"62,4 %",95/96
London Stadium,West Ham United,62500,424015,22317,19,,"35,7 %",95/96
Toughsheet Community Stadium,Bolton Wanderers,28723,357625,18822,19,,"65,5 %",95/96
Coventry Building Society Arena,Coventry City,32609,352024,18528,19,1,"56,8 %",95/96
Loftus Road Stadium,Queens Park Rangers,18360,297775,15672,19,5,"85,4 %",95/96
St Mary's Stadium,Southampton FC,32384,281614,14822,19,13,"45,8 %",95/96
Selhurst Park,Wimbledon FC (- 2004),26309,251620,13243,19,,"50,3 %",95/96
Old Trafford,Manchester United,74879,1046547,55081,19,,"73,6 %",96/97
Anfield,Liverpool FC,60725,755757,39777,19,,"65,5 %",96/97
Emirates Stadium,Arsenal FC,60704,718603,37821,19,5,"62,3 %",96/97
St James' Park,Newcastle United,52338,692857,36466,19,,"69,7 %",96/97
Goodison Park,Everton FC,39571,687572,36188,19,1,"91,5 %",96/97
Villa Park,Aston Villa,42682,684520,36027,19,,"84,4 %",96/97
Elland Road,Leeds United,37890,610235,32118,19,,"84,8 %",96/97
Tottenham Hotspur Stadium,Tottenham Hotspur,62850,590276,31067,19,,"49,4 %",96/97
Riverside Stadium,Middlesbrough FC,33746,567541,29871,19,,"88,5 %",96/97
Stamford Bridge,Chelsea FC,40853,524722,27617,19,,"67,6 %",96/97
Hillsborough,Sheffield Wednesday,39859,488565,25714,19,,"64,5 %",96/97
Ewood Park,Blackburn Rovers,31367,473990,24947,19,,"79,5 %",96/97
The City Ground,Nottingham Forest,30445,467151,24587,19,,"80,8 %",96/97
London Stadium,West Ham United,62500,440971,23209,19,,"37,1 %",96/97
Stadium of Light,Sunderland AFC,48707,398227,20959,19,2,"43,0 %",96/97
King Power Stadium,Leicester City,32273,383490,20184,19,,"62,5 %",96/97
Coventry Building Society Arena,Coventry City,32609,372560,19608,19,1,"60,1 %",96/97
