season,player_id,player_name,age,nationality,team,games_played,minutes,goals,assists,yellow_cards,red_cards
2020,883,L. Grant,39,England,Manchester United,0.0,0.0,0.0,,0.0,0.0
2020,3423,C. Atsu,31,Ghana,Newcastle,0.0,0.0,0.0,,0.0,0.0
2020,18774,W. Morgan,37,Jamaica,Leicester,3.0,15.0,0.0,,0.0,0.0
2020,18826,M. Noble,35,England,West Ham,21.0,705.0,0.0,,1.0,0.0
2020,18839,S. Dann,36,England,Crystal Palace,15.0,1350.0,1.0,,1.0,0.0
2020,18849,J. McArthur,36,Scotland,Crystal Palace,18.0,1471.0,0.0,2.0,3.0,0.0
2020,18912,P. Bardsley,38,Scotland,Burnley,4.0,273.0,0.0,,2.0,0.0
2020,18916,M. Lowton,34,England,Burnley,34.0,3060.0,1.0,1.0,5.0,0.0
2020,18956,S. Long,36,Republic of Ireland,Southampton,11.0,201.0,0.0,,0.0,0.0
2020,18977,D. Stephens,33,England,Burnley,7.0,259.0,0.0,,1.0,0.0
2020,19019,M. Le Marchand,34,France,Fulham,2.0,122.0,0.0,,2.0,0.0
2020,19095,J. O&apos;Connell,29,England,Sheffield Utd,2.0,180.0,0.0,,0.0,0.0
2020,19117,G. Berardi,35,Switzerland,Leeds,2.0,113.0,0.0,,0.0,0.0
2020,19533,Jota Peleteiro,30,Spain,Aston Villa,0.0,0.0,0.0,,0.0,0.0
2020,19629,D. Martin,37,England,West Ham,0.0,0.0,0.0,,0.0,0.0
2020,82227,Stephen Francis Henderson,34,Republic of Ireland,Crystal Palace,0.0,0.0,0.0,,0.0,0.0
2020,138936,K. Hayden,18,England,Aston Villa,0.0,0.0,0.0,,0.0,0.0
2020,152963,O. Otasowie,22,USA,Wolves,6.0,185.0,0.0,1.0,1.0,0.0
2020,162517,L. Dendoncker,21,Belgium,Brighton,0.0,0.0,0.0,,0.0,0.0
2020,174926,C. Diaby,23,France,West Brom,0.0,0.0,0.0,,0.0,0.0
2020,167,D. Rose,32,England,Tottenham,0.0,0.0,0.0,,0.0,0.0
2020,642,S. Agüero,33,Argentina,Manchester City,12.0,559.0,4.0,1.0,0.0,0.0
2020,758,G. Bale,34,Wales,Tottenham,20.0,921.0,11.0,2.0,1.0,0.0
2020,1200,B. Ivanović,37,Serbia,West Brom,13.0,765.0,0.0,,2.0,0.0
2020,1448,S. Mustafi,31,Germany,Arsenal,3.0,44.0,0.0,,0.0,0.0
2020,1458,M. Özil,35,Germany,Arsenal,0.0,0.0,0.0,,0.0,0.0
2020,2275,W. Caballero,42,Argentina,Chelsea,1.0,90.0,0.0,,0.0,0.0
2020,18769,T. Walcott,34,England,Southampton,21.0,1629.0,3.0,,0.0,0.0
2020,18773,C. Fuchs,37,Austria,Leicester,9.0,702.0,0.0,,4.0,0.0
2020,18828,R. Snodgrass,36,Scotland,West Brom,8.0,527.0,0.0,,2.0,0.0
2020,18936,R. Bertrand,34,England,Southampton,29.0,2599.0,0.0,1.0,5.0,0.0
2020,18980,J. Izquierdo,30,Colombia,Brighton,1.0,8.0,0.0,,0.0,0.0
2020,19098,K. Bryan,27,England,Sheffield Utd,13.0,1007.0,1.0,,1.0,0.0
2020,19112,Kiko Casilla,37,Spain,Leeds,3.0,270.0,0.0,,0.0,0.0
2020,19129,Pablo Hernández,38,Spain,Leeds,16.0,417.0,0.0,2.0,1.0,0.0
2020,19148,K. Gibbs,34,England,West Brom,10.0,809.0,0.0,,1.0,1.0
2020,19168,Thomas Henry Alex Robson-Kanu,34,Wales,West Brom,19.0,546.0,2.0,,2.0,0.0
2020,19181,N. Taylor,33,Wales,Aston Villa,1.0,15.0,0.0,,1.0,0.0
2020,19186,Ahmed El Mohamady,34,Egypt,Aston Villa,14.0,833.0,0.0,,2.0,0.0
2020,90497,W. Reid,34,New Zealand,West Ham,0.0,0.0,0.0,,0.0,0.0
