Estadio,Equipo,Capacidad,Espectadores,Promedio,Partidos,Lleno,Máximo rendimiento,Temporada
Anfield,Liverpool FC,60725,777193,37009,21,2.0,61.0,1992
Old Trafford,Manchester United,74879,737768,35132,21,0.0,46.9,1992
Villa Park,Aston Villa,42682,621472,29594,21,0.0,69.3,1992
Elland Road,Leeds United,37890,613798,29228,21,0.0,77.1,1992
Tottenham Hotspur Stadium,Tottenham Hotspur,62850,585430,27878,21,0.0,44.4,1992
Hillsborough,Sheffield Wednesday,39859,572534,27264,21,0.0,68.4,1992
Etihad Stadium,Manchester City,55017,518655,24698,21,1.0,44.9,1992
Emirates Stadium,Arsenal FC,60704,512466,24403,21,0.0,40.2,1992
The City Ground,Nottingham Forest,30445,460107,21910,21,0.0,72.0,1992
Goodison Park,Everton FC,39571,429588,20457,21,0.0,51.7,1992
Bramall Lane,Sheffield United,32702,394826,18801,21,0.0,57.5,1992
Stamford Bridge,Chelsea FC,40853,393838,18754,21,0.0,45.9,1992
Portman Road,Ipswich Town,29673,381883,18185,21,0.0,61.3,1992
Riverside Stadium,Middlesbrough FC,33746,351199,16724,21,0.0,49.6,1992
Carrow Road,Norwich City,27244,345518,16453,21,0.0,60.4,1992
Ewood Park,Blackburn Rovers,31367,341207,16248,21,0.0,51.8,1992
Selhurst Park,Crystal Palace,26047,330251,15726,21,1.0,60.4,1992
St Mary's Stadium,Southampton FC,32384,318118,15148,21,5.0,46.8,1992
Loftus Road Stadium,Queens Park Rangers,18360,315035,15002,21,3.0,81.7,1992
Coventry Building Society Arena,Coventry City,32609,314897,14995,21,1.0,46.0,1992
Boundary Park,Oldham Athletic,13513,270042,12859,21,6.0,95.2,1992
Selhurst Park,Wimbledon FC (- 2004),26309,176505,8405,21,0.0,32.0,1992
Old Trafford,Manchester United,74879,929133,44244,21,0.0,59.1,1993
Anfield,Liverpool FC,60725,808573,38503,21,2.0,63.4,1993
Elland Road,Leeds United,37890,724630,34506,21,3.0,91.1,1993
St James' Park,Newcastle United,52338,709631,33792,21,1.0,64.6,1993
Emirates Stadium,Arsenal FC,60704,640333,30492,21,0.0,50.2,1993
Villa Park,Aston Villa,42682,608364,28970,21,1.0,67.9,1993
Tottenham Hotspur Stadium,Tottenham Hotspur,62850,572359,27255,21,0.0,43.4,1993
Hillsborough,Sheffield Wednesday,39859,570920,27187,21,0.0,68.2,1993
Etihad Stadium,Manchester City,55017,553017,26334,21,1.0,47.9,1993
Goodison Park,Everton FC,39571,481146,22912,21,0.0,57.9,1993
London Stadium,West Ham United,62500,437451,20831,21,0.0,33.3,1993
Bramall Lane,Sheffield United,32702,408568,19456,21,0.0,59.5,1993
Stamford Bridge,Chelsea FC,40853,403434,19211,21,0.0,47.0,1993
Carrow Road,Norwich City,27244,381754,18179,21,0.0,66.7,1993
Ewood Park,Blackburn Rovers,31367,365697,17414,21,0.0,55.5,1993
Portman Road,Ipswich Town,29673,344622,16411,21,0.0,55.3,1993
County Ground,Swindon Town,15728,315734,15035,21,8.0,95.6,1993
St Mary's Stadium,Southampton FC,32384,310338,14778,21,10.0,45.6,1993
Loftus Road Stadium,Queens Park Rangers,18360,296792,14133,21,3.0,77.0,1993
Coventry Building Society Arena,Coventry City,32609,284838,13564,21,0.0,41.6,1993
Boundary Park,Oldham Athletic,13513,263939,12569,21,8.0,93.0,1993
Selhurst Park,Wimbledon FC (- 2004),26309,219698,10462,21,1.0,39.8,1993
Old Trafford,Manchester United,74879,907228,43201,21,0.0,57.7,1994
Emirates Stadium,Arsenal FC,60704,742420,35353,21,4.0,58.2,1994
