temporada,id_jugador,nombre_jugador,edad,nacionalidad,equipo,partidos_jugados,minutos,goles,tarjetas_amarillas,tarjetas_rojas
2023,178,Lucas Moura,30.0,Brazil,Tottenham Hotspur,0.0,0.0,0.0,0.0,0.0
2023,297,A. Oxlade-Chamberlain,29.0,England,Liverpool FC,0.0,0.0,0.0,0.0,0.0
2023,888,P. Jones,30.0,England,Manchester United,0.0,0.0,0.0,0.0,0.0
2023,2473,M. Lanzini,29.0,Argentina,West Ham United,0.0,0.0,0.0,0.0,0.0
2023,18762,T. Davies,25.0,England,Everton FC,0.0,0.0,0.0,0.0,0.0
2023,18854,A. Townsend,32.0,England,Everton FC,0.0,0.0,0.0,0.0,0.0
2023,18858,A. Begović,35.0,Bosnia and Herzegovina,Everton FC,0.0,0.0,0.0,0.0,0.0
2023,19174,J. Steer,30.0,England,Aston Villa,0.0,0.0,0.0,0.0,0.0
2023,130419,M. Longstaff,22.0,England,Newcastle United,0.0,0.0,0.0,0.0,0.0
2023,181822,E. Wady,20.0,USA,Chelsea FC,0.0,0.0,0.0,0.0,0.0
2023,84,Wesley Moraes,26.0,Brazil,Aston Villa,0.0,0.0,0.0,0.0,0.0
2023,378,Alex Telles,30.0,Brazil,Manchester United,0.0,0.0,0.0,0.0,0.0
2023,882,David de Gea,32.0,Spain,Manchester United,0.0,0.0,0.0,0.0,0.0
2023,1914,M. Sanson,28.0,France,Aston Villa,0.0,0.0,0.0,0.0,0.0
2023,140947,I. KaborÃ©,22.0,Burkina Faso,Manchester City,0.0,0.0,0.0,0.0,0.0
2023,152980,R. Savage,21.0,England,Newcastle United,0.0,0.0,0.0,0.0,0.0
2023,153434,W. Fish,19.0,England,Manchester United,0.0,0.0,0.0,0.0,0.0
2023,197448,Yan Couto,20.0,Brazil,Manchester City,0.0,0.0,0.0,0.0,0.0
2023,278075,C. Cîrjan,20.0,Romania,Arsenal FC,0.0,0.0,0.0,0.0,0.0
2023,278088,C. Rushworth,21.0,England,Brighton & Hove Albion,0.0,0.0,0.0,0.0,0.0
2023,284062,K. Edwards,19.0,England,Arsenal FC,0.0,0.0,0.0,0.0,0.0
2023,284248,M. Frauendorf,18.0,Germany,Liverpool FC,0.0,0.0,0.0,0.0,0.0
2023,284446,F. Potts,19.0,England,West Ham United,0.0,0.0,0.0,0.0,0.0
2023,284466,C. Patino,19.0,England,Arsenal FC,0.0,0.0,0.0,0.0,0.0
2023,291022,J. Keeley,19.0,Republic of Ireland,Tottenham Hotspur,0.0,0.0,0.0,0.0,0.0
2023,2276,J. Cumming,23.0,England,Chelsea FC,0.0,0.0,0.0,0.0,0.0
2023,18751,Ivan Cavaleiro,29.0,Portugal,Fulham FC,0.0,0.0,0.0,0.0,0.0
2023,64167,G. Słonina,18.0,USA,Chelsea FC,0.0,0.0,0.0,0.0,0.0
2023,138777,F. Anjorin,21.0,England,Chelsea FC,0.0,0.0,0.0,0.0,0.0
2023,162590,T. Morton,21.0,England,Liverpool FC,0.0,0.0,0.0,0.0,0.0
2023,278086,I. Odutayo,20.0,England,Fulham FC,0.0,0.0,0.0,0.0,0.0
2023,282130,L. Pye,19.0,England,Manchester United,0.0,0.0,0.0,0.0,0.0
2023,284305,J. Miley,18.0,England,Newcastle United,0.0,0.0,0.0,0.0,0.0
2023,284471,S. Parkes,18.0,England,Fulham FC,0.0,0.0,0.0,0.0,0.0
2023,284559,A. Borto,19.0,USA,Fulham FC,0.0,0.0,0.0,0.0,0.0
